,Value
0,0.5300000000000001
1,0.5400000000000001
2,0.5100000000000001
3,0.5200000000000001
4,0.5100000000000001
5,0.5200000000000001
6,0.5100000000000001
7,0.5000000000000001
8,0.5700000000000002
9,0.5700000000000002
10,0.5600000000000002
11,0.5000000000000001
12,0.5100000000000001
13,0.5000000000000001
14,0.4800000000000001
15,0.4
16,0.4
17,0.4
18,0.4
19,0.4
20,0.4
21,0.4
22,0.4
23,0.4
24,0.4
25,0.4
26,0.4
27,0.4
28,0.4
29,0.4
30,0.4
31,0.4
32,0.4
33,0.4
34,0.4
35,0.4
36,0.4
37,0.4
38,0.4
39,0.4
40,0.4
41,0.4
42,0.4
43,0.4
44,0.5000000000000001
45,0.5200000000000001
46,0.5000000000000001
47,0.5300000000000001
48,0.5400000000000001
49,0.5200000000000001
50,0.5200000000000001
51,0.5200000000000001
52,0.5600000000000002
53,0.5600000000000002
54,0.5700000000000002
55,0.5500000000000002
56,0.5600000000000002
57,0.5600000000000002
58,0.5700000000000002
59,0.5400000000000001
60,0.4900000000000001
61,0.5300000000000001
62,0.5300000000000001
63,0.5400000000000001
64,0.5300000000000001
65,0.4800000000000001
66,0.4800000000000001
67,0.5300000000000001
68,0.5000000000000001
69,0.4
70,0.4900000000000001
71,0.4900000000000001
72,0.5000000000000001
73,0.4900000000000001
74,0.5200000000000001
75,0.5000000000000001
76,0.5800000000000002
77,0.5900000000000002
78,0.5900000000000002
79,0.6500000000000002
80,0.7000000000000003
81,0.7000000000000003
82,0.7100000000000003
83,0.7100000000000003
84,0.7100000000000003
85,0.5900000000000002
86,0.5300000000000001
87,0.5400000000000001
88,0.5200000000000001
89,0.5600000000000002
90,0.6600000000000003
91,0.7000000000000003
92,0.7200000000000003
93,0.7400000000000003
94,0.7400000000000003
95,0.7300000000000003
96,0.7300000000000003
97,0.7300000000000003
98,0.8000000000000004
99,0.7700000000000004
100,0.8100000000000004
101,0.7400000000000003
102,0.7300000000000003
103,0.7300000000000003
104,0.7000000000000003
105,0.7000000000000003
106,0.6900000000000003
107,0.6900000000000003
108,0.6800000000000003
109,0.6700000000000003
110,0.6600000000000003
111,0.6900000000000003
112,0.6900000000000003
113,0.6900000000000003
114,0.6900000000000003
115,0.6900000000000003
116,0.6900000000000003
117,0.6900000000000003
118,0.7000000000000003
119,0.7100000000000003
120,0.7200000000000003
121,0.7200000000000003
122,0.7200000000000003
123,0.7200000000000003
124,0.7400000000000003
125,0.7500000000000003
126,0.7500000000000003
127,0.7600000000000003
128,0.7600000000000003
129,0.7800000000000004
130,0.7600000000000003
131,0.7800000000000004
132,0.7500000000000003
133,0.7100000000000003
134,0.7000000000000003
135,0.7000000000000003
136,0.7000000000000003
137,0.7000000000000003
138,0.7100000000000003
139,0.7100000000000003
140,0.7500000000000003
141,0.7500000000000003
142,0.7600000000000003
143,0.7200000000000003
144,0.7200000000000003
145,0.7300000000000003
146,0.7100000000000003
147,0.7100000000000003
148,0.7400000000000003
149,0.7300000000000003
150,0.7100000000000003
151,0.7400000000000003
152,0.7100000000000003
153,0.7100000000000003
154,0.7100000000000003
155,0.7200000000000003
156,0.7400000000000003
157,0.7400000000000003
158,0.7500000000000003
159,0.7600000000000003
160,0.7600000000000003
161,0.7600000000000003
162,0.7500000000000003
163,0.7500000000000003
164,0.7200000000000003
165,0.7200000000000003
166,0.7300000000000003
167,0.7300000000000003
168,0.6900000000000003
169,0.7100000000000003
170,0.6900000000000003
171,0.6800000000000003
172,0.6800000000000003
173,0.6800000000000003
174,0.7200000000000003
175,0.7300000000000003
176,0.7300000000000003
177,0.7300000000000003
178,0.7200000000000003
179,0.7200000000000003
180,0.7200000000000003
181,0.7200000000000003
182,0.7200000000000003
183,0.7100000000000003
184,0.7100000000000003
185,0.7100000000000003
186,0.7200000000000003
187,0.7100000000000003
188,0.7100000000000003
189,0.7000000000000003
190,0.7000000000000003
191,0.7000000000000003
192,0.6900000000000003
193,0.7100000000000003
194,0.7100000000000003
195,0.7100000000000003
196,0.7100000000000003
197,0.7100000000000003
198,0.7200000000000003
199,0.7400000000000003
200,0.7300000000000003
201,0.7500000000000003
202,0.7300000000000003
203,0.7300000000000003
204,0.7400000000000003
205,0.7400000000000003
206,0.7800000000000004
207,0.7900000000000004
208,0.8100000000000004
209,0.8100000000000004
210,0.8300000000000004
211,0.8300000000000004
212,0.7700000000000004
213,0.7800000000000004
214,0.8500000000000004
215,0.7600000000000003
216,0.6600000000000003
217,0.6200000000000002
218,0.6200000000000002
219,0.6800000000000003
220,0.5900000000000002
221,0.5900000000000002
222,0.5800000000000002
223,0.4700000000000001
224,0.4800000000000001
225,0.5700000000000002
226,0.5500000000000002
227,0.5500000000000002
228,0.5400000000000001
229,0.7100000000000003
230,0.6500000000000002
231,0.6800000000000003
