,Value
0,0.7000000000000001
1,0.7000000000000001
2,1.0
3,1.0
4,1.0
5,0.8200000000000002
6,0.7800000000000001
7,0.8100000000000002
8,1.0
9,1.0
10,1.0
11,0.9900000000000003
12,0.9900000000000003
13,0.9800000000000003
14,0.9900000000000003
15,0.9800000000000003
16,0.8400000000000002
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,0.9900000000000003
30,1.0
31,0.9400000000000003
32,0.9700000000000003
33,0.9800000000000003
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,0.9900000000000003
49,1.0
50,1.0
51,0.9200000000000003
52,0.9600000000000003
53,0.9200000000000003
54,0.9200000000000003
55,0.8500000000000002
56,0.8400000000000002
57,0.7700000000000001
58,0.7700000000000001
59,0.7500000000000001
60,0.7400000000000001
61,0.7100000000000001
62,0.7200000000000001
63,0.7400000000000001
64,0.7400000000000001
65,0.7400000000000001
66,0.7300000000000001
67,0.7400000000000001
68,0.65
69,0.63
70,0.63
71,0.63
72,0.67
73,0.67
74,0.67
75,0.66
76,0.66
77,0.67
78,0.66
79,0.65
80,0.63
81,0.61
82,0.6
83,0.6
84,0.62
85,0.61
86,0.61
87,0.61
88,0.61
89,0.61
90,0.61
91,0.6
92,0.6
93,0.6
94,0.61
95,0.6
96,0.6
97,0.6
98,0.63
99,0.63
100,0.65
101,0.62
102,0.6
103,0.6
104,0.6
105,0.6
106,0.6
107,0.6
108,0.6
109,0.6
110,0.6
111,0.61
112,0.61
113,0.62
114,0.62
115,0.63
116,0.64
117,0.63
118,0.64
119,0.64
120,0.64
121,0.65
122,0.65
123,0.65
124,0.65
125,0.64
126,0.65
127,0.65
128,0.65
129,0.67
130,0.66
131,0.67
132,0.67
133,0.67
134,0.67
135,0.68
136,0.68
137,0.6900000000000001
138,0.6900000000000001
139,0.6900000000000001
140,0.7000000000000001
141,0.7100000000000001
142,0.7200000000000001
143,0.7300000000000001
144,0.7300000000000001
145,0.7600000000000001
146,0.7700000000000001
147,0.7800000000000001
148,0.7800000000000001
149,0.7700000000000001
150,0.7800000000000001
151,0.7800000000000001
152,0.7800000000000001
153,0.7900000000000001
154,0.7900000000000001
155,0.7900000000000001
156,0.7800000000000001
157,0.7800000000000001
158,0.7800000000000001
159,0.7900000000000001
160,0.8000000000000002
161,0.8000000000000002
162,0.8000000000000002
163,0.8200000000000002
164,0.8200000000000002
165,0.8100000000000002
166,0.8000000000000002
167,0.8200000000000002
168,0.8200000000000002
169,0.8300000000000002
170,0.8200000000000002
171,0.8200000000000002
172,0.8300000000000002
173,0.8200000000000002
174,0.8200000000000002
175,0.8100000000000002
176,0.8200000000000002
177,0.8300000000000002
178,0.8100000000000002
179,0.8100000000000002
180,0.8100000000000002
181,0.8300000000000002
182,0.8400000000000002
183,0.8300000000000002
184,0.8300000000000002
185,0.8400000000000002
186,0.8400000000000002
187,0.8300000000000002
188,0.8200000000000002
189,0.8300000000000002
190,0.8300000000000002
191,0.8200000000000002
192,0.8200000000000002
193,0.8200000000000002
194,0.8200000000000002
195,0.8300000000000002
196,0.8100000000000002
197,0.8000000000000002
198,0.8000000000000002
199,0.8000000000000002
200,0.8000000000000002
201,0.7900000000000001
202,0.7900000000000001
203,0.7800000000000001
204,0.7700000000000001
205,0.7800000000000001
206,0.7800000000000001
207,0.7800000000000001
208,0.7700000000000001
209,0.7700000000000001
210,0.7800000000000001
211,0.7800000000000001
212,0.7900000000000001
213,0.8000000000000002
214,0.8200000000000002
215,0.8100000000000002
216,0.8400000000000002
217,0.8400000000000002
218,0.8300000000000002
219,0.8400000000000002
220,0.8400000000000002
221,0.8400000000000002
222,0.8400000000000002
223,0.8400000000000002
224,0.8500000000000002
225,0.8400000000000002
226,0.8400000000000002
227,0.8400000000000002
228,0.8400000000000002
229,0.8400000000000002
230,0.8400000000000002
231,0.8400000000000002
232,0.8400000000000002
233,0.8100000000000002
234,0.7900000000000001
235,0.8200000000000002
236,0.8200000000000002
237,0.8400000000000002
238,0.8600000000000002
239,0.8600000000000002
240,0.8700000000000002
241,0.8800000000000002
242,0.8800000000000002
243,0.8900000000000002
244,0.8900000000000002
245,0.8900000000000002
246,0.8900000000000002
247,0.8900000000000002
248,0.8800000000000002
249,0.8800000000000002
250,0.8800000000000002
251,0.8800000000000002
252,0.8400000000000002
253,0.8100000000000002
254,0.8500000000000002
255,0.8300000000000002
256,0.8500000000000002
257,0.8400000000000002
258,0.8600000000000002
259,0.8400000000000002
260,0.8500000000000002
261,0.8600000000000002
262,0.8700000000000002
263,0.8700000000000002
264,0.8700000000000002
265,0.8700000000000002
266,0.8700000000000002
267,0.8800000000000002
268,0.8800000000000002
269,0.8800000000000002
270,0.8800000000000002
271,0.8800000000000002
272,0.8900000000000002
