,Value
0,0.6
1,0.6
2,0.6
3,0.6
4,0.6
5,0.6
6,0.6
7,0.6
8,0.6
9,0.6
10,0.6
11,0.6
12,0.6
13,0.6
14,0.6
15,0.6
16,0.6
17,0.6
18,0.6
19,0.6
20,0.6
21,0.6
22,0.6
23,0.6
24,0.6
25,0.6
26,0.6
27,0.6
28,0.6
29,0.6
30,0.6
31,0.6
32,0.6
33,0.6
34,0.6
35,0.6
36,0.6
37,0.6
38,0.6
39,0.6
40,0.6
41,0.6
42,0.6
43,0.6
44,0.6
45,0.6
46,0.6
47,0.6
48,0.6
49,0.6
50,0.6
51,0.6
52,0.6
53,0.6
54,0.6
55,0.6
56,0.6
57,0.6
58,0.61
59,0.6
60,0.6
61,0.6
62,0.6
63,0.6
64,0.6
65,0.6
66,0.61
67,0.62
68,0.62
69,0.61
70,0.6
71,0.61
72,0.6
73,0.6
74,0.6
75,0.6
76,0.61
77,0.61
78,0.62
79,0.61
80,0.61
81,0.62
82,0.62
83,0.61
84,0.61
85,0.61
86,0.61
87,0.61
88,0.61
89,0.61
90,0.62
91,0.62
92,0.62
93,0.62
94,0.62
95,0.63
96,0.64
97,0.63
98,0.7000000000000001
99,0.6900000000000001
100,0.7100000000000001
101,0.67
102,0.65
103,0.64
104,0.64
105,0.64
106,0.65
107,0.65
108,0.65
109,0.65
110,0.65
111,0.66
112,0.66
113,0.67
114,0.68
115,0.68
116,0.68
117,0.68
118,0.68
119,0.6900000000000001
120,0.7000000000000001
121,0.7100000000000001
122,0.6900000000000001
123,0.6900000000000001
124,0.6900000000000001
125,0.6900000000000001
126,0.6900000000000001
127,0.6900000000000001
128,0.6900000000000001
129,0.6900000000000001
130,0.6900000000000001
131,0.7000000000000001
132,0.7000000000000001
133,0.7100000000000001
134,0.7100000000000001
135,0.7100000000000001
136,0.7100000000000001
137,0.7100000000000001
138,0.7100000000000001
139,0.7100000000000001
140,0.7100000000000001
141,0.7000000000000001
142,0.7100000000000001
143,0.7100000000000001
144,0.7200000000000001
145,0.7200000000000001
146,0.7200000000000001
147,0.7200000000000001
148,0.7200000000000001
149,0.7200000000000001
150,0.7200000000000001
151,0.7200000000000001
152,0.7200000000000001
153,0.7300000000000001
154,0.7300000000000001
155,0.7200000000000001
156,0.7300000000000001
157,0.7300000000000001
158,0.7300000000000001
159,0.7300000000000001
160,0.7300000000000001
161,0.7300000000000001
162,0.7300000000000001
163,0.7300000000000001
164,0.7300000000000001
165,0.7300000000000001
166,0.7400000000000001
167,0.7700000000000001
168,0.7800000000000001
169,0.7800000000000001
170,0.7800000000000001
171,0.7900000000000001
172,0.7800000000000001
173,0.7800000000000001
174,0.7800000000000001
175,0.7700000000000001
176,0.7800000000000001
177,0.8000000000000002
178,0.8600000000000002
179,0.8700000000000002
180,0.8700000000000002
181,0.8600000000000002
182,0.8600000000000002
183,0.8800000000000002
184,0.8700000000000002
185,0.8700000000000002
186,0.8700000000000002
187,0.8700000000000002
188,0.8700000000000002
189,0.8700000000000002
190,0.8700000000000002
191,0.8700000000000002
192,0.8800000000000002
193,0.8800000000000002
194,0.8900000000000002
195,0.8800000000000002
196,0.8800000000000002
197,0.8800000000000002
198,0.8700000000000002
199,0.8700000000000002
200,0.8700000000000002
201,0.9200000000000003
202,0.9200000000000003
203,0.9200000000000003
204,0.9500000000000003
205,0.9600000000000003
206,0.9500000000000003
207,0.9700000000000003
208,1.0
209,1.0
210,1.0
211,1.0
212,1.0
213,1.0
214,0.9500000000000003
215,1.0
216,0.9400000000000003
217,0.9500000000000003
218,0.9500000000000003
219,0.9800000000000003
220,0.9200000000000003
221,0.9300000000000003
222,0.9400000000000003
223,0.9400000000000003
224,0.9100000000000003
225,0.9500000000000003
226,0.8800000000000002
227,0.8700000000000002
228,0.8600000000000002
229,0.8600000000000002
230,0.8700000000000002
231,0.8700000000000002
232,0.8800000000000002
233,0.8500000000000002
234,0.8700000000000002
235,0.9000000000000002
236,0.9000000000000002
237,0.9100000000000003
238,0.9100000000000003
239,0.9400000000000003
240,0.9100000000000003
241,0.9100000000000003
242,0.9200000000000003
243,0.9100000000000003
244,0.9200000000000003
245,0.9300000000000003
246,0.9300000000000003
247,0.9600000000000003
248,0.9600000000000003
249,0.9500000000000003
250,0.9600000000000003
251,0.9600000000000003
252,0.9700000000000003
253,0.9500000000000003
254,0.9300000000000003
255,0.9000000000000002
256,0.9000000000000002
257,0.9000000000000002
258,0.9100000000000003
259,0.9200000000000003
260,0.8800000000000002
261,0.8700000000000002
262,0.8600000000000002
263,0.8400000000000002
264,0.8300000000000002
265,0.8400000000000002
266,0.8400000000000002
267,0.8500000000000002
268,0.8400000000000002
269,0.8400000000000002
270,0.8500000000000002
271,0.8500000000000002
272,0.8300000000000002
273,0.8100000000000002
274,0.8300000000000002
275,0.8300000000000002
276,0.7700000000000001
277,0.7600000000000001
278,0.7700000000000001
279,0.7700000000000001
280,0.7600000000000001
281,0.7500000000000001
282,0.7900000000000001
283,0.8000000000000002
284,0.8000000000000002
285,0.7600000000000001
286,0.7700000000000001
287,0.7600000000000001
288,0.7500000000000001
289,0.7200000000000001
290,0.7000000000000001
291,0.7000000000000001
292,0.7000000000000001
293,0.7200000000000001
294,0.7200000000000001
295,0.7100000000000001
296,0.7000000000000001
297,0.7200000000000001
298,0.7300000000000001
299,0.7500000000000001
300,0.7400000000000001
301,0.64
302,0.64
303,0.67
304,0.65
305,0.68
306,0.7200000000000001
307,0.7300000000000001
308,0.7100000000000001
309,0.6
310,0.6
311,0.68
312,0.68
313,0.6900000000000001
314,0.7000000000000001
315,0.7000000000000001
316,0.64
317,0.64
318,0.6
319,0.6
320,0.6
321,0.6
322,0.6
323,0.6
324,0.6
325,0.6
326,0.6
327,0.6
328,0.6
329,0.6
330,0.6
331,0.6
332,0.6
333,0.6
334,0.7200000000000001
335,0.62
336,0.6
337,0.6
338,0.6
339,0.6
340,0.6
341,0.6
342,0.6
343,0.6
344,0.6
345,0.6
346,0.6
347,0.6
348,0.6
349,0.6
350,0.6
351,0.6
352,0.6
353,0.6
354,0.6
355,0.6
356,0.6
357,0.6
358,0.6
359,0.6
360,0.6
361,0.6
362,0.6
363,0.6
364,0.6
365,0.6
366,0.6
367,0.6
368,0.6
369,0.6
370,0.6
371,0.6
372,0.6
373,0.6
374,0.6
375,0.6
376,0.6
377,0.6
378,0.6
379,0.6
380,0.6
381,0.6
382,0.6
383,0.6
384,0.6
385,0.6
386,0.6
387,0.6
388,0.6
389,0.6
390,0.6
391,0.6
392,0.6
393,0.6
394,0.6
395,0.6
396,0.6
397,0.6
398,0.6
399,0.6
400,0.6
401,0.6
402,0.6
403,0.6
404,0.6
405,0.6
406,0.6
407,0.6
408,0.6
409,0.6
410,0.6
411,0.6
412,0.6
413,0.6
414,0.6
415,0.6
416,0.6
417,0.6
418,0.6
419,0.6
420,0.6
421,0.6
422,0.6
423,0.6
424,0.6
425,0.65
426,0.65
427,0.65
428,0.66
429,0.66
430,0.65
431,0.65
432,0.63
433,0.62
434,0.66
435,0.66
436,0.65
437,0.65
438,0.65
439,0.65
440,0.67
441,0.6
442,0.6
443,0.61
444,0.61
445,0.62
446,0.64
447,0.64
448,0.63
449,0.63
450,0.68
451,0.7900000000000001
452,0.7900000000000001
453,0.7600000000000001
454,0.7500000000000001
455,0.7200000000000001
456,0.7200000000000001
457,0.7200000000000001
458,0.7400000000000001
459,0.7300000000000001
460,0.7300000000000001
461,0.8000000000000002
462,0.7300000000000001
463,0.7500000000000001
464,0.7300000000000001
465,0.7000000000000001
466,0.7100000000000001
467,0.7400000000000001
468,0.7400000000000001
469,0.7300000000000001
470,0.7300000000000001
471,0.7300000000000001
472,0.7300000000000001
473,0.7400000000000001
474,0.7300000000000001
475,0.7300000000000001
476,0.7000000000000001
477,0.68
478,0.68
479,0.67
480,0.68
481,0.6900000000000001
482,0.7000000000000001
483,0.7100000000000001
484,0.7200000000000001
485,0.7100000000000001
486,0.7200000000000001
487,0.7100000000000001
488,0.7000000000000001
489,0.7000000000000001
490,0.7200000000000001
491,0.7200000000000001
492,0.7200000000000001
493,0.7300000000000001
494,0.7200000000000001
495,0.7300000000000001
496,0.7400000000000001
497,0.7400000000000001
498,0.7400000000000001
499,0.7100000000000001
500,0.7000000000000001
501,0.6900000000000001
502,0.6900000000000001
503,0.6900000000000001
504,0.68
505,0.7200000000000001
506,0.7300000000000001
507,0.7600000000000001
508,0.7400000000000001
509,0.7300000000000001
510,0.6900000000000001
511,0.64
512,0.64
513,0.65
514,0.62
515,0.63
516,0.6
517,0.6900000000000001
518,0.7000000000000001
519,0.62
520,0.63
521,0.63
522,0.68
523,0.8600000000000002
524,0.7000000000000001
525,0.63
526,0.7000000000000001
527,0.9500000000000003
528,0.7200000000000001
529,0.6
530,0.6
531,0.6
532,0.6
533,0.6
534,0.6
535,0.6
536,0.6
537,0.9200000000000003
538,0.9100000000000003
539,0.9100000000000003
540,0.9600000000000003
541,0.9300000000000003
542,0.9000000000000002
543,0.8800000000000002
544,0.8600000000000002
545,0.8500000000000002
546,0.8300000000000002
547,0.8300000000000002
548,0.8200000000000002
549,0.8100000000000002
550,0.6
551,0.6
552,0.6
553,0.6
554,0.6
555,0.6
556,0.6
557,0.6
558,0.6
559,0.6
560,0.6
561,0.6
562,0.6
563,0.6
564,0.6
565,0.6
566,0.6
567,0.61
568,0.6
569,0.6
570,0.6
571,0.6
572,0.6
573,0.6
574,0.6
575,0.6
576,0.6
577,0.6
578,0.6
579,0.6
580,0.6
581,0.6
582,0.6
583,0.6
584,0.6
585,0.6
586,0.6
587,0.6
588,0.6
589,0.6
590,0.6
591,0.6
592,0.6
593,0.6
594,0.6
595,0.6
596,0.6
597,0.6
598,0.6
599,0.6
600,0.6
601,0.6
602,0.6
603,0.6
604,0.6
605,0.6
606,0.6
607,0.6
608,0.6
609,0.6
610,0.6
611,0.6
612,0.6
613,0.6
614,0.6
615,0.6
616,0.6
617,0.6
618,0.6
619,0.6
620,0.6
621,0.6
622,0.6
623,0.6
624,0.6
625,0.6
626,0.6
627,0.6
628,0.6
629,0.6
630,0.6
631,0.6
632,0.6
633,0.6
634,0.6
635,0.6
636,0.6
637,0.6
638,0.6
639,0.6
640,0.6
641,0.6
642,0.6
643,0.6
644,0.6
645,0.6
646,0.6
647,0.6
648,0.6
649,0.6
650,0.6
651,0.6
652,0.6
653,0.6
654,0.6
655,0.6
656,0.6
657,0.6
658,0.6
659,0.6
660,0.6
661,0.6
662,0.6
663,0.6
664,0.6
665,0.6
666,0.6
667,0.6
668,0.6
669,0.6
670,0.61
671,0.6
672,0.6
673,0.61
674,0.61
675,0.62
676,0.63
677,0.63
678,0.63
679,0.64
680,0.65
681,0.65
682,0.64
683,0.64
684,0.65
685,0.65
686,0.66
687,0.66
688,0.66
689,0.66
690,0.66
691,0.66
692,0.66
693,0.66
694,0.66
695,0.67
696,0.66
697,0.67
698,0.66
699,0.65
700,0.64
701,0.65
702,0.66
703,0.66
704,0.66
705,0.67
706,0.67
707,0.67
708,0.67
709,0.67
710,0.67
711,0.67
712,0.66
713,0.65
714,0.65
715,0.66
716,0.67
717,0.67
718,0.67
719,0.66
720,0.65
721,0.66
722,0.66
723,0.67
724,0.67
725,0.66
726,0.68
727,0.68
728,0.67
729,0.67
730,0.6900000000000001
731,0.7000000000000001
732,0.7400000000000001
733,0.7500000000000001
734,0.7200000000000001
735,0.7500000000000001
736,0.7600000000000001
737,0.7400000000000001
738,0.7500000000000001
739,0.7500000000000001
740,0.7300000000000001
741,0.7000000000000001
742,0.7100000000000001
743,0.7000000000000001
744,0.68
745,0.68
746,0.68
747,0.6900000000000001
748,0.6900000000000001
749,0.6900000000000001
750,0.6900000000000001
751,0.7000000000000001
752,0.7100000000000001
753,0.7100000000000001
754,0.6900000000000001
755,0.6900000000000001
756,0.68
757,0.68
758,0.68
759,0.68
760,0.6900000000000001
761,0.68
762,0.6900000000000001
763,0.68
764,0.68
765,0.68
766,0.68
767,0.68
768,0.68
769,0.68
770,0.68
771,0.68
772,0.6900000000000001
773,0.6900000000000001
774,0.6900000000000001
775,0.6900000000000001
776,0.6900000000000001
777,0.6900000000000001
778,0.7000000000000001
779,0.6900000000000001
780,0.6900000000000001
781,0.7000000000000001
782,0.6900000000000001
783,0.68
784,0.7000000000000001
785,0.6900000000000001
786,0.6900000000000001
787,0.7000000000000001
788,0.6900000000000001
789,0.68
790,0.68
791,0.66
792,0.67
793,0.67
794,0.68
795,0.68
796,0.67
797,0.68
798,0.68
799,0.68
800,0.68
801,0.68
802,0.68
803,0.68
804,0.68
805,0.68
806,0.68
807,0.67
808,0.6900000000000001
809,0.6900000000000001
810,0.6900000000000001
811,0.68
812,0.68
813,0.68
814,0.6900000000000001
815,0.7000000000000001
816,0.7100000000000001
817,0.7000000000000001
818,0.6900000000000001
819,0.7000000000000001
820,0.6900000000000001
821,0.6900000000000001
822,0.6900000000000001
823,0.6900000000000001
824,0.6900000000000001
825,0.7000000000000001
826,0.7000000000000001
827,0.7100000000000001
828,0.7100000000000001
829,0.7300000000000001
830,0.7300000000000001
831,0.7400000000000001
832,0.7200000000000001
833,0.7300000000000001
834,0.7300000000000001
835,0.7300000000000001
836,0.7400000000000001
837,0.7400000000000001
838,0.7500000000000001
839,0.7600000000000001
840,0.7700000000000001
841,0.7200000000000001
842,0.7300000000000001
843,0.7200000000000001
844,0.7300000000000001
845,0.7300000000000001
846,0.7300000000000001
847,0.7500000000000001
848,0.7400000000000001
849,0.7200000000000001
850,0.7600000000000001
851,0.7400000000000001
852,0.7600000000000001
853,0.7700000000000001
854,0.7800000000000001
855,0.7700000000000001
856,0.7800000000000001
857,0.7600000000000001
858,0.7600000000000001
859,0.7600000000000001
860,0.7600000000000001
861,0.7600000000000001
862,0.7600000000000001
863,0.7600000000000001
864,0.7700000000000001
865,0.7700000000000001
866,0.8100000000000002
867,0.8100000000000002
868,0.8100000000000002
869,0.8000000000000002
870,0.8000000000000002
871,0.7700000000000001
872,0.7400000000000001
873,0.7600000000000001
874,0.7700000000000001
875,0.8000000000000002
876,0.7100000000000001
877,0.7100000000000001
878,0.7100000000000001
879,0.7500000000000001
880,0.7300000000000001
881,0.7400000000000001
882,0.7100000000000001
883,0.7300000000000001
884,0.7500000000000001
885,0.6900000000000001
886,0.68
887,0.65
888,0.64
889,0.64
890,0.63
891,0.63
892,0.63
893,0.63
894,0.64
895,0.62
896,0.62
897,0.61
898,0.6
899,0.62
900,0.63
901,0.64
902,0.63
903,0.61
904,0.6
905,0.6
906,0.6
907,0.6
908,0.6
909,0.6
910,0.61
911,0.6
