,Value
0,0.6
1,0.6
2,0.6
3,0.6
4,0.6
5,0.6
6,0.6
7,0.6
8,0.6
9,0.6
10,0.6
11,0.6
12,0.6
13,0.6
14,0.6
15,0.6
16,0.6
17,0.6
18,0.6
19,0.6
20,0.6
21,0.6
22,0.6
23,0.6
24,0.6
25,0.6
26,0.6
27,0.6
28,0.6
29,0.6
30,0.6
31,0.6
32,0.6
33,0.6
34,0.6
35,0.6
36,0.6
37,0.6
38,0.6
39,0.6
40,0.6
41,0.6
42,0.6
43,0.6
44,0.6
45,0.6
46,0.6
47,0.6
48,0.6
49,0.6
50,0.6
51,0.6
52,0.6
53,0.6
54,0.6
55,0.6
56,0.6
57,0.6
58,0.6
59,0.6
60,0.6
61,0.6
62,0.6
63,0.6
64,0.6
65,0.6
66,0.6
67,0.6
68,0.6
69,0.6
70,0.6
71,0.6
72,0.6
73,0.6
74,0.6
75,0.6
76,0.6
77,0.6
78,0.6
79,0.65
80,0.7900000000000001
81,0.7900000000000001
82,0.7900000000000001
83,0.7900000000000001
84,0.7900000000000001
85,0.6
86,0.6
87,0.6
88,0.6
89,0.6
90,0.66
91,0.7800000000000001
92,0.8000000000000002
93,0.8200000000000002
94,0.8200000000000002
95,0.8100000000000002
96,0.8100000000000002
97,0.8100000000000002
98,0.9000000000000002
99,0.8700000000000002
100,0.9200000000000003
101,0.8300000000000002
102,0.8100000000000002
103,0.8200000000000002
104,0.7800000000000001
105,0.7800000000000001
106,0.7800000000000001
107,0.7800000000000001
108,0.7700000000000001
109,0.7600000000000001
110,0.7500000000000001
111,0.7800000000000001
112,0.7800000000000001
113,0.7800000000000001
114,0.7800000000000001
115,0.7900000000000001
116,0.7800000000000001
117,0.7800000000000001
118,0.7900000000000001
119,0.8000000000000002
120,0.8200000000000002
121,0.8100000000000002
122,0.8100000000000002
123,0.8100000000000002
124,0.8200000000000002
125,0.8400000000000002
126,0.8400000000000002
127,0.8500000000000002
128,0.8600000000000002
129,0.8800000000000002
130,0.8500000000000002
131,0.8800000000000002
132,0.8500000000000002
133,0.8300000000000002
134,0.7900000000000001
135,0.7900000000000001
136,0.7900000000000001
137,0.7900000000000001
138,0.7900000000000001
139,0.7900000000000001
140,0.8400000000000002
141,0.8400000000000002
142,0.8600000000000002
143,0.8300000000000002
144,0.8200000000000002
145,0.8200000000000002
146,0.8000000000000002
147,0.8000000000000002
148,0.8300000000000002
149,0.8200000000000002
150,0.7900000000000001
151,0.8200000000000002
152,0.7900000000000001
153,0.7900000000000001
154,0.7900000000000001
155,0.8000000000000002
156,0.8300000000000002
157,0.8200000000000002
158,0.8300000000000002
159,0.8400000000000002
160,0.8400000000000002
161,0.8400000000000002
162,0.8400000000000002
163,0.8300000000000002
164,0.8000000000000002
165,0.8000000000000002
166,0.8100000000000002
167,0.8100000000000002
168,0.7700000000000001
169,0.7900000000000001
170,0.7700000000000001
171,0.7500000000000001
172,0.7400000000000001
173,0.7500000000000001
174,0.8100000000000002
175,0.8200000000000002
176,0.8300000000000002
177,0.8300000000000002
178,0.8200000000000002
179,0.8200000000000002
180,0.8100000000000002
181,0.8200000000000002
182,0.8100000000000002
183,0.8100000000000002
184,0.8100000000000002
185,0.8100000000000002
186,0.8100000000000002
187,0.8100000000000002
188,0.8100000000000002
189,0.8000000000000002
190,0.8000000000000002
191,0.8000000000000002
192,0.8000000000000002
193,0.8100000000000002
194,0.8100000000000002
195,0.8100000000000002
196,0.8100000000000002
197,0.8100000000000002
198,0.8400000000000002
199,0.8500000000000002
200,0.8400000000000002
201,0.8700000000000002
202,0.8400000000000002
203,0.8400000000000002
204,0.8400000000000002
205,0.8400000000000002
206,0.8900000000000002
207,0.9200000000000003
208,0.9400000000000003
209,0.9400000000000003
210,0.9800000000000003
211,0.9700000000000003
212,0.9400000000000003
213,0.9300000000000003
214,1.0
215,0.7600000000000001
216,0.66
217,0.62
218,0.62
219,0.68
220,0.6
221,0.6
222,0.6
223,0.6
224,0.6
225,0.6
226,0.6
227,0.6
228,0.6
229,0.7100000000000001
230,0.65
231,0.68
232,0.6900000000000001
233,0.7500000000000001
234,0.7900000000000001
235,0.8100000000000002
236,0.7100000000000001
237,0.7100000000000001
238,0.66
239,0.6
240,0.6
241,0.6
242,0.6
243,0.6
244,0.6
245,0.6
246,0.6
247,0.6
248,0.6
249,0.6
250,0.6
251,0.6
252,0.6
253,0.6
254,0.6
255,0.6
256,0.6
257,0.6
258,0.6
259,0.6
260,0.6
261,0.6
262,0.6
263,0.6
264,0.6
265,0.6
266,0.6
267,0.6
268,0.6
269,0.6
270,0.6
271,0.6
272,0.6
273,0.6
274,0.6
275,0.6
276,0.6
277,0.6
278,0.6
279,0.6
280,0.6
281,0.6
282,0.6
283,0.6
284,0.6
285,0.6
286,0.6
287,0.6
288,0.6
289,0.6
290,0.6
291,0.6
292,0.6
293,0.6
294,0.6
295,0.6
296,0.6
297,0.6
298,0.6
299,0.6
300,0.6
301,0.6
302,0.6
303,0.6
304,0.6
305,0.6
306,0.6
307,0.6
308,0.6
309,0.6
310,0.6
311,0.6
312,0.6
313,0.6
314,0.6
315,0.6
316,0.6
317,0.6
318,0.6
319,0.6
320,0.6
321,0.6
322,0.6
323,0.6
324,0.6
325,0.6
326,0.6
327,0.6
328,0.6
329,0.6
330,0.6
331,0.6
332,0.6
333,0.6
334,0.6
335,0.6
336,0.6
337,0.6
338,0.6
339,0.6
340,0.6
341,0.6
342,0.6
343,0.6
344,0.6
345,0.6
346,0.6
347,0.6
348,0.6
349,0.6
350,0.6
351,0.6
352,0.6
353,0.6
354,0.6
355,0.6
356,0.6
357,0.6
358,0.6
359,0.6
360,0.6
361,0.6
362,0.6
363,0.6
364,0.6
365,0.6
366,0.6
367,0.6
368,0.6
369,0.6
370,0.6
371,0.6
372,0.6
373,0.6
374,0.6
375,0.6
376,0.6
377,0.6
378,0.6
379,0.6
380,0.6
381,0.6
382,0.6
383,0.6
384,0.6
385,0.6
386,0.6
387,0.6
388,0.6
389,0.6
390,0.6
391,0.6
392,0.6
393,0.6
394,0.6
395,0.6
396,0.6
397,0.6
398,0.6
399,0.6
400,0.6
401,0.6
402,0.6
403,0.6
404,0.6
405,0.6
406,0.6
407,0.6
408,0.6
409,0.6
410,0.6
411,0.6
412,0.6
413,0.6
414,0.6
415,0.6
416,0.6
417,0.6
418,0.6
419,0.6
420,0.6
421,0.6
422,0.6
423,0.6
424,0.6
425,0.6
426,0.6
427,0.6
428,0.6
429,0.6
430,0.6
431,0.6
432,0.6
433,0.6
434,0.6
435,0.6
436,0.6
437,0.6
438,0.6
439,0.6
440,0.6
441,0.6
442,0.6
443,0.6
444,0.6
445,0.6
446,0.6
447,0.6
448,0.6
449,0.6
450,0.6
451,0.6
452,0.6
453,0.6
454,0.6
455,0.6
456,0.6
457,0.6
458,0.6
459,0.6
460,0.6
461,0.6
462,0.6
463,0.6
464,0.6
465,0.6
466,0.6
467,0.6
468,0.6
469,0.6
470,0.6
471,0.6
472,0.6
473,0.6
474,0.6
475,0.6
476,0.6
477,0.6
478,0.6
479,0.6
480,0.6
481,0.6
482,0.6
483,0.6
484,0.6
485,0.6
486,0.6
487,0.6
488,0.6
489,0.6
490,0.6
491,0.6
492,0.6
493,0.6
494,0.6
495,0.6
496,0.6
497,0.6
498,0.61
499,0.6
500,0.62
501,0.62
502,0.63
503,0.63
504,0.63
505,0.67
506,0.66
507,0.67
508,0.68
509,0.6900000000000001
510,0.6900000000000001
511,0.7100000000000001
512,0.7100000000000001
513,0.7000000000000001
514,1.0
515,1.0
516,1.0
517,1.0
518,1.0
519,1.0
520,1.0
521,1.0
522,1.0
523,1.0
524,1.0
525,1.0
526,1.0
527,1.0
528,0.9500000000000003
529,0.9100000000000003
530,0.9700000000000003
531,0.9300000000000003
532,0.9200000000000003
533,0.9100000000000003
534,0.9600000000000003
535,0.9600000000000003
536,0.9400000000000003
537,0.9700000000000003
538,0.9500000000000003
539,0.9200000000000003
540,0.9800000000000003
541,1.0
542,1.0
543,1.0
544,1.0
545,1.0
546,1.0
547,1.0
548,1.0
549,1.0
550,1.0
551,1.0
552,1.0
553,1.0
554,1.0
555,1.0
556,1.0
557,1.0
558,1.0
559,1.0
560,1.0
561,1.0
562,1.0
563,1.0
564,1.0
565,1.0
566,1.0
567,1.0
568,0.8300000000000002
569,0.7300000000000001
570,0.7300000000000001
571,0.7400000000000001
572,0.7400000000000001
573,0.7800000000000001
574,0.7800000000000001
575,0.8000000000000002
576,0.7900000000000001
577,0.7900000000000001
578,0.7900000000000001
579,0.8000000000000002
580,0.7900000000000001
581,0.7800000000000001
582,0.7700000000000001
583,0.7700000000000001
584,0.7700000000000001
585,0.7600000000000001
586,0.7700000000000001
587,0.7600000000000001
588,0.7600000000000001
589,0.7700000000000001
590,0.7700000000000001
591,0.7600000000000001
592,0.7500000000000001
593,0.7500000000000001
594,0.7300000000000001
595,0.7300000000000001
596,0.7100000000000001
597,0.7100000000000001
598,0.6900000000000001
599,0.67
600,0.67
601,0.66
602,0.66
603,0.65
604,0.66
605,0.61
606,0.61
607,0.62
608,0.6
609,0.64
610,0.62
611,0.6
612,0.6
613,0.61
614,0.61
615,0.61
616,0.61
617,0.61
618,0.61
619,0.6
620,0.6
621,0.6
622,0.61
623,0.62
624,0.61
625,0.62
626,0.62
627,0.62
628,0.6
629,0.6
630,0.6
631,0.61
632,0.62
633,0.63
634,0.63
635,0.63
636,0.63
637,0.63
638,0.6
639,0.62
640,0.61
641,0.61
642,0.61
643,0.6
644,0.6
645,0.6
646,0.6
647,0.6
648,0.6
649,0.6
650,0.6
651,0.6
652,0.6
653,0.6
654,0.6
655,0.6
656,0.6
657,0.6
658,0.6
659,0.6
660,0.6
661,0.6
662,0.6
663,0.6
664,0.6
665,0.6
666,0.6
667,0.6
668,0.6
669,0.6
670,0.6
671,0.6
672,0.6
673,0.6
674,0.6
675,0.6
676,0.6
677,0.6
678,0.6
679,0.6
680,0.6
681,0.6
682,0.6
683,0.6
684,0.6
685,0.6
686,0.6
687,0.6
688,0.6
689,0.6
690,0.6
691,0.6
692,0.6
693,0.61
694,0.62
695,0.63
696,0.63
697,0.64
698,0.65
699,0.64
700,0.65
701,0.64
702,0.66
703,0.66
704,0.66
705,0.65
706,0.65
707,0.65
708,0.66
709,0.66
710,0.65
711,0.65
712,0.65
713,0.66
714,0.66
715,0.66
716,0.66
717,0.67
718,0.67
719,0.67
720,0.65
721,0.65
722,0.65
723,0.62
724,0.61
725,0.61
726,0.63
727,0.63
728,0.63
729,0.65
730,0.66
731,0.66
732,0.67
733,0.67
734,0.65
735,0.6900000000000001
736,0.67
737,0.66
738,0.66
739,0.67
740,0.67
741,0.66
742,0.65
743,0.6900000000000001
744,0.68
745,0.68
746,0.6900000000000001
747,0.68
748,0.68
749,0.68
750,0.68
751,0.6900000000000001
752,0.7100000000000001
753,0.7100000000000001
754,0.68
755,0.68
756,0.67
757,0.67
758,0.67
759,0.67
760,0.68
761,0.68
762,0.68
763,0.68
764,0.68
765,0.68
766,0.67
767,0.67
768,0.67
769,0.68
770,0.68
771,0.68
772,0.68
773,0.6900000000000001
774,0.6900000000000001
775,0.6900000000000001
776,0.6900000000000001
777,0.6900000000000001
778,0.6900000000000001
779,0.6900000000000001
780,0.6900000000000001
781,0.6900000000000001
782,0.6900000000000001
783,0.6900000000000001
784,0.6900000000000001
785,0.6900000000000001
786,0.68
787,0.68
788,0.67
789,0.66
790,0.66
791,0.66
792,0.66
793,0.68
794,0.68
795,0.68
796,0.68
797,0.67
798,0.68
799,0.68
800,0.7000000000000001
801,0.7000000000000001
802,0.67
803,0.67
804,0.67
805,0.68
806,0.65
807,0.65
808,0.66
809,0.67
810,0.66
811,0.66
812,0.66
813,0.68
814,0.68
815,0.6900000000000001
816,0.7000000000000001
817,0.7200000000000001
818,0.6900000000000001
819,0.6900000000000001
820,0.7100000000000001
821,0.7100000000000001
822,0.7300000000000001
823,0.7400000000000001
824,0.7400000000000001
825,0.7400000000000001
826,0.7300000000000001
827,0.7500000000000001
828,0.7600000000000001
829,0.7500000000000001
830,0.7500000000000001
831,0.7500000000000001
832,0.7500000000000001
833,0.7700000000000001
834,0.7700000000000001
835,0.7700000000000001
836,0.7800000000000001
837,0.7800000000000001
838,0.7900000000000001
839,0.8000000000000002
840,0.8100000000000002
841,0.8100000000000002
842,0.8200000000000002
843,0.8200000000000002
844,0.8200000000000002
845,0.8200000000000002
846,0.8200000000000002
847,0.8200000000000002
848,0.8200000000000002
849,0.8200000000000002
850,0.8200000000000002
851,0.8200000000000002
852,0.8300000000000002
853,0.8200000000000002
854,0.8300000000000002
855,0.8300000000000002
856,0.8300000000000002
857,0.8200000000000002
858,0.8200000000000002
859,0.8300000000000002
860,0.8300000000000002
861,0.8300000000000002
862,0.8300000000000002
863,0.8200000000000002
864,0.8300000000000002
865,0.8300000000000002
866,0.8300000000000002
867,0.8200000000000002
868,0.8200000000000002
869,0.8200000000000002
870,0.8100000000000002
871,0.8100000000000002
872,0.8200000000000002
873,0.8200000000000002
874,0.8200000000000002
875,0.7900000000000001
876,0.7600000000000001
877,0.7200000000000001
878,0.7200000000000001
879,0.7500000000000001
880,0.7200000000000001
881,0.7500000000000001
882,0.7300000000000001
883,0.7300000000000001
884,0.7500000000000001
885,0.7600000000000001
886,0.7500000000000001
887,0.7600000000000001
888,0.7800000000000001
889,0.7700000000000001
890,0.7200000000000001
891,0.7200000000000001
892,0.7300000000000001
893,0.7300000000000001
894,0.7400000000000001
895,0.7400000000000001
896,0.7300000000000001
897,0.7100000000000001
898,0.7100000000000001
899,0.6900000000000001
900,0.7000000000000001
901,0.7000000000000001
902,0.67
903,0.6900000000000001
904,0.64
905,0.65
906,0.64
907,0.65
908,0.67
909,0.64
910,0.65
911,0.64
912,0.7100000000000001
913,0.7600000000000001
914,0.7900000000000001
915,0.8000000000000002
916,0.8300000000000002
917,0.8200000000000002
918,0.6900000000000001
919,0.65
920,0.66
921,0.66
922,0.66
923,0.66
924,0.62
925,0.64
926,0.65
927,0.65
928,0.65
929,0.65
930,0.64
931,0.61
932,0.62
933,0.6
934,0.6
935,0.6
936,0.6
937,0.6
938,0.6
939,0.6
940,0.6
941,0.6
942,0.6
943,0.6
944,0.6
945,0.6
946,0.6
947,0.6
948,0.6
949,0.6
950,0.6
951,0.6
952,0.6
953,0.6
954,0.6
955,0.6
956,0.6
957,0.6
958,0.6
959,0.6
960,0.6
961,0.6
962,0.6
963,0.6
964,0.6
965,0.6
966,0.6
967,0.6
968,0.6
969,0.6
970,0.6
971,0.6
972,0.6
973,0.6
