,Value
0,0.7100000000000001
1,0.7800000000000001
2,0.7100000000000001
3,0.7000000000000001
4,0.6900000000000001
5,0.6900000000000001
6,0.68
7,0.68
8,0.68
9,0.68
10,0.6900000000000001
11,0.6900000000000001
12,0.6900000000000001
13,0.6900000000000001
14,0.6900000000000001
15,0.6900000000000001
16,0.68
17,0.68
18,0.68
19,0.68
20,0.68
21,0.66
22,0.67
23,0.65
24,0.66
25,0.66
26,0.67
27,0.67
28,0.68
29,0.67
30,0.68
31,0.7300000000000001
32,0.68
33,0.67
34,0.67
35,0.67
36,0.68
37,0.67
38,0.67
39,0.67
40,0.67
41,0.67
42,0.65
43,0.65
44,0.66
45,0.67
46,0.66
47,0.67
48,0.66
49,0.66
50,0.66
51,0.67
52,0.66
53,0.66
54,0.66
55,0.66
56,0.65
57,0.66
58,0.65
59,0.65
60,0.65
61,0.66
62,0.65
63,0.66
64,0.66
65,0.66
66,0.65
67,0.65
68,0.64
69,0.63
70,0.6
71,0.63
72,0.64
73,0.64
74,0.65
75,0.64
76,0.64
77,0.64
78,0.64
79,0.64
80,0.8100000000000002
81,0.65
82,0.63
83,0.64
84,0.63
85,0.7100000000000001
86,0.61
87,0.6
88,0.6
89,0.6
90,0.6
91,0.6
92,0.6
93,0.62
94,0.61
95,0.6
96,0.6
97,0.6
98,0.6
99,0.6
100,0.6
101,0.6
102,0.6
103,0.6
104,0.65
105,0.64
106,0.65
107,0.67
108,0.67
109,0.68
110,0.68
111,0.68
112,0.67
113,0.68
114,0.6900000000000001
115,0.6900000000000001
116,0.6900000000000001
117,0.6900000000000001
118,0.68
119,0.67
120,0.68
121,0.6900000000000001
122,0.68
123,0.68
124,0.68
125,0.6900000000000001
126,0.7100000000000001
127,0.7000000000000001
128,0.7100000000000001
129,0.6900000000000001
130,0.7100000000000001
131,0.6900000000000001
132,0.6900000000000001
133,0.7000000000000001
134,0.6900000000000001
135,0.7000000000000001
136,0.6900000000000001
137,0.7000000000000001
138,0.6900000000000001
139,0.68
140,0.68
141,0.68
142,0.6900000000000001
143,0.6900000000000001
144,0.6900000000000001
145,0.7000000000000001
146,0.6900000000000001
147,0.6900000000000001
148,0.6900000000000001
