,0,1,2,3,4,5,6,7
2022-05-13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-16,0.20738194870374713,0.0,0.0,0.0,0.0,0.0,0.0,0.7926180512962528
2022-05-17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-28,0.0,0.0,0.0,0.0,0.0,0.3730608309385724,0.0,0.6269391690614277
2022-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-06-06,0.0,0.0,0.0,0.0,0.0,0.4144295061619263,0.0,0.5855704938380737
2022-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-06-09,0.0,0.0,0.0,0.0,0.0,0.14117128577172805,0.0,0.858828714228272
2022-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-06-11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-06-12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-06-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-06-14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-06-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-06-20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-06-21,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-06-22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-06-23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-06-26,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-06-27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-06-28,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-06-29,0.0,0.0,0.9327791461076742,0.0,0.0,0.06722085389232578,0.0,0.0
2022-06-30,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-07-02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-07-07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-07-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-07-11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-07-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-07-16,0.0,0.9511939549816522,0.0,0.0,0.0,0.0,0.0,0.0488060450183477
2022-07-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-07-18,0.0,0.0,0.2856166303036392,0.0,0.0,0.0,0.0,0.7143833696963608
2022-07-19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-07-20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-07-21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-07-24,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-07-25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-07-28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-07-29,0.0,0.5305059189167819,0.0,0.0,0.4694940810832182,0.0,0.0,0.0
2022-07-30,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-07-31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-08-01,0.0,0.0,0.0,0.4118608119508966,0.0,0.5881391880491035,0.0,0.0
2022-08-02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-08-03,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-08-04,0.0,0.0,0.0,0.0,0.0,0.1012211916700863,0.0,0.8987788083299136
2022-08-05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-08-06,0.0,0.0,0.0,0.6614981215176051,0.3385018784823948,0.0,0.0,0.0
2022-08-07,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-08-08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-08-09,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-08-10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-08-11,0.0,0.8577440895499251,0.0,0.0,0.1422559104500748,0.0,0.0,0.0
2022-08-12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-08-13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-08-14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-08-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-08-17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-08-18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-08-20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-08-21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-08-22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-08-23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-24,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-08-25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
